Production,Usage,Plugload
0,38.24,8.84
0,40.02,8.84
0,44.29,8.84
0,84.65,8.84
0,124.65,12.46
0,156.43,12.85
3,193.99,38.73
7,274.7,107.18
13,276.78,112.58
16,272.41,112.74
23,274.55,112.74
20,246.92,98.8
16,264.96,105.99
13,265.67,105.99
42,261.72,101.49
3,254.66,92.5
0,170.92,63.69
0,107.38,42.1
0,100.45,42.1
0,81.59,34.76
0,77.99,32.06
0,41.73,12.78
0,33,8.92
156,3725.94,1294.69
0,34.15,8.84
0,34.49,8.84
0,36.81,8.84
0,37.25,8.84
0,86.76,8.84
0,106.71,12.46
0,110.91,12.85
3,187.03,38.73
16,269.01,107.18
55,274,112.58
46,271.81,112.74
104,271.01,112.74
81,243.62,98.8
146,264.11,105.99
75,264.9,105.99
55,261.45,101.49
7,254.16,92.5
0,171.11,63.69
0,106.65,42.1
0,100.29,42.1
0,81.45,34.76
0,77.49,32.06
0,41.24,12.78
0,32.65,8.92
588,3619.06,1294.69
0,33.52,8.84
0,34.58,8.84
0,37.06,8.84
0,37.43,8.84
0,82.83,8.84
0,110.37,12.46
0,108.48,12.85
3,180.78,38.73
55,267.54,107.18
107,269.36,112.58
146,270.21,112.74
169,272.19,112.74
169,248.24,98.8
153,260.99,105.99
117,261.8,105.99
72,258.61,101.49
7,252.31,92.5
0,170.78,63.69
0,106.86,42.1
0,100.29,42.1
0,81.35,34.76
0,77.58,32.06
0,35.61,12.78
0,31.78,8.92
998,3590.55,1294.69
0,34.27,8.84
0,37.44,8.84
0,39.17,8.84
0,43.07,8.84
0,52.45,8.84
0,100.44,12.46
0,110.9,12.85
3,210.75,38.73
10,344.56,107.18
26,252.31,112.58
127,250.3,112.74
166,253.82,112.74
49,230.97,98.8
36,245.73,105.99
20,242.01,105.99
29,235.7,101.49
3,228.01,92.5
0,171.76,63.69
0,107.8,42.1
0,101.11,42.1
0,83.17,34.76
0,77.04,32.06
0,41.17,12.78
0,33.96,8.92
469,3527.92,1294.69
0,39.54,8.84
0,43.06,8.84
0,47.79,8.84
0,49.07,8.84
0,57.37,8.84
0,138.88,12.46
0,167.96,12.85
7,241.79,38.73
55,384.82,107.18
104,255.72,112.58
146,251.1,112.74
101,253.21,112.74
104,229.89,98.8
65,245.15,105.99
26,241.46,105.99
13,236.63,101.49
0,232.18,92.5
0,170.88,63.69
0,107.6,42.1
0,100.43,42.1
0,82.44,34.76
0,76.96,32.06
0,37.1,12.78
0,32.94,8.92
621,3723.98,1294.69
0,36.74,8.87
0,39.22,8.84
0,45.83,8.84
0,47.66,8.84
0,51.95,8.84
0,62.1,8.84
0,150.46,12.52
0,146.74,12.79
10,189.7,32.13
23,188.88,32.75
20,124.27,33.31
23,101.67,33.31
36,67.32,22.51
23,49.96,18.01
39,41.97,18.01
55,42.07,18.01
7,46.58,18.01
0,29.46,10.88
0,34.02,10.28
0,26.84,9.98
0,34.66,9.98
0,37.42,9.68
0,38.56,9.39
0,37.01,8.92
236,1671.05,373.57
0,38.42,8.87
0,39.71,8.84
0,41.49,8.84
0,42.93,8.84
0,44.51,8.84
0,43.92,8.84
0,47.45,8.92
3,49.02,9.12
16,45.58,9.31
68,42.65,9.31
